"Due","Vencimento"
"Instruction","Informações"
"Credit Card Number","Número do cartão"
"Expiration Date","Data de vencimento"
"Credit Card CVV","Código de segurança (CVV)"
"Installments", "Parcelas"
"Card Interest","Juros do cartão"
"Card Expiration","Válido até"
"Credit Card Type","Bandeira"
"Full Name","Nome no cartão"
"Name on Card","Nome no cartão"
"Billet Interest","Juros do parcelamento"
"Total Price with Interest","Valor total com juros"
"Automatic Invoice","Fatura automática"
"Canceled Order Status","Status para pedidos cancelados"
"Transaction Message","Mensagem da transação"
"Transaction Code","Código da transação"
"Auth ID","ID da autorização"

"IN-ANALYSIS","Em Análise"
"IN ANALYSIS","Em Análise"
"IN-ANALISYS","Em Análise"
"IN ANALISYS","Em Análise"
"CREATED","Iniciado"
"WAITING-PAYMENT","Aguardando Pagamento"
"WAITING PAYMENT","Aguardando Pagamento"
"CANCELED","Cancelado"
"PRE-AUTHORIZED","Pré-Autorizado"
"PRE AUTHORIZED","Pré-Autorizado"
"PARTIAL-CAPTURED","Capturado Parcialmente"
"PARTIAL CAPTURED","Capturado Parcialmente"
"DECLINED","Recusado"
"CAPTURED","Aprovado e Capturado"
"CHARGEDBACK","Chargeback"
"IN-DISPUTE","Em Disputa"
"IN DISPUTE","Em Disputa"
